Code Beruf,Berufsbezeichnung,Code,Bezeichnung Ausbildungsfeld
68617,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Reisebüro) ",415,"Sekretariats- und Büroarbeit"
68618,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: santésuisse) ",415,"Sekretariats- und Büroarbeit"
68619,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Spitäler/Kliniken/Heime) ",415,"Sekretariats- und Büroarbeit"
68620,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Transport) ",415,"Sekretariats- und Büroarbeit"
68621,"Kaufmann/Kauffrau EFZ (Erweiterte Grundbildung/Branche: Treuhand/Immobilien) ",415,"Sekretariats- und Büroarbeit"
39506,"Keramiker/in EFZ",214,"Kunsthandwerk"
46106,"Kleinmotorrad- u Fahrradmechaniker/in EFZ",716,"Kraftfahrzeuge  Schiffe und Flugzeuge"
79007,"Koch/Köchin EFZ",1013,"Gastgewerbe und Catering"
64208,"Konstrukteur/in EFZ",715,"Maschinenbau und Metallverarbeitung"
54402,"Korb- und Flechtwerkgestalter/in EFZ",214,"Kunsthandwerk"
82112,"Kosmetiker/in EFZ",1012,"Friseurgewerbe und Schönheitspflege"
79022,"Küchenangestellte/r EBA",1013,"Gastgewerbe und Catering"
31703,"Küfer/in EFZ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
38321,"Kunststofftechnologe/-login EFZ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
38326,"Kunststofftechnologe/-login EFZ (Bearbeiten von Halbzeug/Thermoformen) ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
38323,"Kunststofftechnologe/-login EFZ (Extrudieren) ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
38324,"Kunststofftechnologe/-login EFZ (Herstellen von Flächengebilden) ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
38325,"Kunststofftechnologe/-login EFZ (Herstellen von Verbundteilen) ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
38322,"Kunststofftechnologe/-login EFZ (Spritzgiessen/Pressen) ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
38327,"Kunststoffverarbeiter/in EBA",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
65329,"Laborant/in EFZ",711,"Chemie und Verfahrenstechnik"
65324,"Laborant/in EFZ (Biologie) ",711,"Chemie und Verfahrenstechnik"
65325,"Laborant/in EFZ (Chemie) ",711,"Chemie und Verfahrenstechnik"
65327,"Laborant/in EFZ (Farbe und Lack) ",711,"Chemie und Verfahrenstechnik"
65326,"Laborant/in EFZ (Textil) ",711,"Chemie und Verfahrenstechnik"
45305,"Lackierassisten/in EBA",715,"Maschinenbau und Metallverarbeitung"
43905,"Landmaschinenmechaniker/in EFZ",716,"Kraftfahrzeuge  Schiffe und Flugzeuge"
15005,"Landwirt/in EFZ",811,"Pflanzenbau und Tierzucht"
21415,"Lebensmittelpraktiker/in EBA",721,"Nahrungsmittel"
21416,"Lebensmitteltechnologe/-login EFZ",721,"Nahrungsmittel"
95505,"Logistiker/in EBA",1041,"Verkehrsdienstleistungen"
95511,"Logistiker/in EBA",1041,"Verkehrsdienstleistungen"
95504,"Logistiker/in EFZ",1041,"Verkehrsdienstleistungen"
95506,"Logistiker/in EFZ",1041,"Verkehrsdienstleistungen"
95507,"Logistiker/in EFZ (Distribution) ",1041,"Verkehrsdienstleistungen"
95508,"Logistiker/in EFZ (Lager) ",1041,"Verkehrsdienstleistungen"
95509,"Logistiker/in EFZ (Verkehr) ",1041,"Verkehrsdienstleistungen"
47906,"Lüftungsanlagenbauer/in EFZ",713,"Elektrizität und Energie"
47907,"Lüftungsanlagenbauer/in EFZ",713,"Elektrizität und Energie"
47909,"Lüftungsanlagenbauer/in EFZ (Montage) ",713,"Elektrizität und Energie"
47908,"Lüftungsanlagenbauer/in EFZ (Produktion) ",713,"Elektrizität und Energie"
53001,"Maler/in",732,"Baugewerbe  Hoch- und Tiefbau"
53002,"Maler/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
53003,"Malerpraktiker/in EBA",732,"Baugewerbe  Hoch- und Tiefbau"
39205,"Marmorist/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
75103,"Matrose/Matrosin der Binnenschifffahrt EFZ",1041,"Verkehrsdienstleistungen"
51006,"Maurer/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
45906,"Mechanikpraktiker/in EBA",715,"Maschinenbau und Metallverarbeitung"
47121,"Mediamatiker/in EFZ",211,"Audiovisuelle Techniken und Medienproduktion"
88606,"Mediamatiker/in EFZ",211,"Audiovisuelle Techniken und Medienproduktion"
34200,"Medientechnologe/-login EFZ",211,"Audiovisuelle Techniken und Medienproduktion"
34201,"Medientechnologe/-login EFZ (Print) ",211,"Audiovisuelle Techniken und Medienproduktion"
34202,"Medientechnologe/-login EFZ (Printmediatechnik) ",211,"Audiovisuelle Techniken und Medienproduktion"
34203,"Medientechnologe/-login EFZ (Siebdruck) ",211,"Audiovisuelle Techniken und Medienproduktion"
86910,"Medizinische Praxisassistent/in EFZ",914,"Medizinische Diagnostik und Behandlungstechnik"
86915,"Medizinische/r Praxisassistent/in EFZ",914,"Medizinische Diagnostik und Behandlungstechnik"
87101,"Medizinproduktetechnologe/-gin EFZ",914,"Medizinische Diagnostik und Behandlungstechnik"
43813,"Messerschmied/in EFZ",715,"Maschinenbau und Metallverarbeitung"
43815,"Messerschmied/in EFZ (Profil E) ",715,"Maschinenbau und Metallverarbeitung"
43814,"Messerschmied/in EFZ (Profil G) ",715,"Maschinenbau und Metallverarbeitung"
44503,"Metallbauer/in EFZ",715,"Maschinenbau und Metallverarbeitung"
44504,"Metallbauer/in EFZ (Metallbau) ",715,"Maschinenbau und Metallverarbeitung"
44505,"Metallbauer/in EFZ (Schmiedearbeiten) ",715,"Maschinenbau und Metallverarbeitung"
44507,"Metallbauer/in EFZ (Stahlbau) ",715,"Maschinenbau und Metallverarbeitung"
64404,"Metallbaukonstrukteur/in EFZ",715,"Maschinenbau und Metallverarbeitung"
44506,"Metallbaupraktiker/in EBA",715,"Maschinenbau und Metallverarbeitung"
43302,"Metalldrücker/in",715,"Maschinenbau und Metallverarbeitung"
49303,"Mikromechaniker/in EFZ",715,"Maschinenbau und Metallverarbeitung"
48308,"Mikromechaniker/in EFZ",715,"Maschinenbau und Metallverarbeitung"
49305,"Mikromechaniker/in EFZ (Décolletage) ",715,"Maschinenbau und Metallverarbeitung"
49304,"Mikromechaniker/in EFZ (Herstellung von Werkstücken auf CNC-Maschinen) ",715,"Maschinenbau und Metallverarbeitung"
49307,"Mikromechaniker/in EFZ (Prototypen) ",715,"Maschinenbau und Metallverarbeitung"
49306,"Mikromechaniker/in EFZ (Stanzwerkzeuge/Giessformen) ",715,"Maschinenbau und Metallverarbeitung"
65017,"Mikrozeichner/in",715,"Maschinenbau und Metallverarbeitung"
65018,"Mikrozeichner/in EFZ",715,"Maschinenbau und Metallverarbeitung"
48309,"Mikrozeichner/in EFZ",715,"Maschinenbau und Metallverarbeitung"
65023,"Mikrozeichner/in EFZ (Prototypen) ",715,"Maschinenbau und Metallverarbeitung"
65022,"Mikrozeichner/in EFZ (Stanzwerkzeuge/Giessformen) ",715,"Maschinenbau und Metallverarbeitung"
21604,"Milchpraktiker/in EBA",721,"Nahrungsmittel"
21607,"Milchpraktiker/in EBA",721,"Nahrungsmittel"
21605,"Milchtechnologe/-login EFZ",721,"Nahrungsmittel"
21606,"Milchtechnologe/-login EFZ",721,"Nahrungsmittel"
47419,"Montage-Elektriker/in EFZ",713,"Elektrizität und Energie"
47414,"Montage-Elektriker/in EFZ",713,"Elektrizität und Energie"
43907,"Motorgerätemechaniker/in EFZ",716,"Kraftfahrzeuge  Schiffe und Flugzeuge"
46204,"Motorradmechaniker/in EFZ",716,"Kraftfahrzeuge  Schiffe und Flugzeuge"
21005,"Müller/in EFZ",721,"Nahrungsmittel"
21006,"Müller/in EFZ (Lebensmittel) ",721,"Nahrungsmittel"
21007,"Müller/in EFZ (Tiernahrung) ",721,"Nahrungsmittel"
47005,"Multimediaelektroniker/in",714,"Elektronik und Automation"
47006,"Multimediaelektroniker/in EFZ",714,"Elektronik und Automation"
47107,"Multimediagestalter/in",211,"Audiovisuelle Techniken und Medienproduktion"
54214,"Musikinstrumentenbauer/in EFZ",214,"Kunsthandwerk"
54208,"Musikinstrumentenbauer/in EFZ (Blasinstrumentenbau) ",214,"Kunsthandwerk"
54209,"Musikinstrumentenbauer/in EFZ (Blasinstrumentenreparateur) ",214,"Kunsthandwerk"
54210,"Musikinstrumentenbauer/in EFZ (Klavierbau) ",214,"Kunsthandwerk"
54211,"Musikinstrumentenbauer/in EFZ (Orgelbau) ",214,"Kunsthandwerk"
54212,"Musikinstrumentenbauer/in EFZ (Orgelpfeifenbau) ",214,"Kunsthandwerk"
,"Natur  Landschaft und Lebensmittel (BM2)",812,"Gartenbau"
47417,"Netzelektriker/in EFZ",713,"Elektrizität und Energie"
,"Nur BM1 (Berufskunde an anderer Schule)",9999,"Feld unbekannt"
42003,"Oberflächenbeschichter/in EFZ",715,"Maschinenbau und Metallverarbeitung"
42004,"Oberflächenpraktiker/in EBA",715,"Maschinenbau und Metallverarbeitung"
49706,"Oberflächenveredler/in Uhren und Schmuck EFZ",715,"Maschinenbau und Metallverarbeitung"
49707,"Oberflächenveredler/in Uhren und Schmuck EFZ",715,"Maschinenbau und Metallverarbeitung"
16003,"Obstfachmann/-fachfrau EFZ",811,"Pflanzenbau und Tierzucht"
51204,"Ofenbauer/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
36105,"Orthopädie-Schuhmacher/in EFZ",723,"Textilien ( Kleidung  Schuhwerk und Leder)"
54005,"Orthopädist/in EFZ",914,"Medizinische Diagnostik und Behandlungstechnik"
33004,"Papiertechnologe/-login EFZ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
18114,"Pferdefachmann/-frau EFZ",811,"Pflanzenbau und Tierzucht"
18107,"Pferdefachmann/-frau EFZ (Gangpferdereiten) ",811,"Pflanzenbau und Tierzucht"
18118,"Pferdefachmann/-frau EFZ (Gangpferdereiten) ",811,"Pflanzenbau und Tierzucht"
18120,"Pferdefachmann/-frau EFZ (Gespannfahren) ",811,"Pflanzenbau und Tierzucht"
18116,"Pferdefachmann/-frau EFZ (Klassisches Reiten) ",811,"Pflanzenbau und Tierzucht"
18105,"Pferdefachmann/-frau EFZ (Klassisches Reiten) ",811,"Pflanzenbau und Tierzucht"
18115,"Pferdefachmann/-frau EFZ (Pferdepflege) ",811,"Pflanzenbau und Tierzucht"
18104,"Pferdefachmann/-frau EFZ (Pferdepflege) ",811,"Pflanzenbau und Tierzucht"
18108,"Pferdefachmann/-frau EFZ (Pferderennsport) ",811,"Pflanzenbau und Tierzucht"
18119,"Pferdefachmann/-frau EFZ (Pferderennsport) ",811,"Pflanzenbau und Tierzucht"
18117,"Pferdefachmann/-frau EFZ (Westernreiten) ",811,"Pflanzenbau und Tierzucht"
18106,"Pferdefachmann/-frau EFZ (Westernreiten) ",811,"Pflanzenbau und Tierzucht"
18121,"Pferdewart/in EBA",811,"Pflanzenbau und Tierzucht"
51419,"Pflästerer/-in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
70610,"Pharma-Assistent/in EFZ",416,"Gross- und Einzelhandel"
65321,"Physiklaborant/in",711,"Chemie und Verfahrenstechnik"
65322,"Physiklaborant/in (Messtechnik) ",711,"Chemie und Verfahrenstechnik"
65323,"Physiklaborant/in (Werkstoff) ",711,"Chemie und Verfahrenstechnik"
65328,"Physiklaborant/in EFZ",711,"Chemie und Verfahrenstechnik"
51103,"Plattenleger/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
51104,"Plattenlegerpraktiker/in EBA",732,"Baugewerbe  Hoch- und Tiefbau"
82117,"Podologe/-login EFZ",914,"Medizinische Diagnostik und Behandlungstechnik"
50304,"Polisseur/-euse EBA",715,"Maschinenbau und Metallverarbeitung"
50305,"Polisseur/-euse EBA",715,"Maschinenbau und Metallverarbeitung"
51908,"Polybauer/in EFZ (Abdichten) ",732,"Baugewerbe  Hoch- und Tiefbau"
51909,"Polybauer/in EFZ (Dachdecken) ",732,"Baugewerbe  Hoch- und Tiefbau"
51910,"Polybauer/in EFZ (Fassadenbau) ",732,"Baugewerbe  Hoch- und Tiefbau"
51911,"Polybauer/in EFZ (Gerüstbau) ",732,"Baugewerbe  Hoch- und Tiefbau"
51912,"Polybauer/in EFZ (Sonnenschutz-Systeme) ",732,"Baugewerbe  Hoch- und Tiefbau"
51913,"Polybaupraktiker/in EBA",732,"Baugewerbe  Hoch- und Tiefbau"
90503,"Polydesigner/in 3D EFZ (Dekorationsgestalter)",212,"Mode  Innenarchitektur und industrielles Design"
34710,"Polygraf/in EFZ",211,"Audiovisuelle Techniken und Medienproduktion"
34708,"Polygraf/in EFZ (Mediengestaltung) ",211,"Audiovisuelle Techniken und Medienproduktion"
34709,"Polygraf/in EFZ (Medienproduktion) ",211,"Audiovisuelle Techniken und Medienproduktion"
45705,"Polymechaniker/in EFZ",715,"Maschinenbau und Metallverarbeitung"
45707,"Polymechaniker/in EFZ (Profil E) ",715,"Maschinenbau und Metallverarbeitung"
45706,"Polymechaniker/in EFZ (Profil G) ",715,"Maschinenbau und Metallverarbeitung"
35316,"Printmedienpraktiker/in EBA",211,"Audiovisuelle Techniken und Medienproduktion"
35311,"Printmedienverarbeiter/in EFZ",211,"Audiovisuelle Techniken und Medienproduktion"
35312,"Printmedienverarbeiter/in EFZ (Bindetechnologie (Lehrdauer 4 Jahre)) ",211,"Audiovisuelle Techniken und Medienproduktion"
35313,"Printmedienverarbeiter/in EFZ (Buchbinderei (Lehrdauer 4 Jahre)) ",211,"Audiovisuelle Techniken und Medienproduktion"
35315,"Printmedienverarbeiter/in EFZ (Druckausrüstung (Lehrdauer 3 Jahre)) ",211,"Audiovisuelle Techniken und Medienproduktion"
35314,"Printmedienverarbeiter/in EFZ (Versandtechnologie (Lehrdauer 4 Jahre)) ",211,"Audiovisuelle Techniken und Medienproduktion"
45716,"Produktionsmechaniker/in EFZ",715,"Maschinenbau und Metallverarbeitung"
48310,"Qualitätsfachmann/-frau in Mikrotechnik EFZ",715,"Maschinenbau und Metallverarbeitung"
28420,"Raumausstatter/in EFZ",212,"Mode  Innenarchitektur und industrielles Design"
95005,"Recyclist/in EFZ",712,"Umweltschutztechnologien"
95006,"Recyclist/in EFZ",712,"Umweltschutztechnologien"
46320,"Reifenpraktiker/in EBA",716,"Kraftfahrzeuge  Schiffe und Flugzeuge"
79024,"Restaurantangestellte/r EBA",1013,"Gastgewerbe und Catering"
78705,"Restaurantfachmann/-frau EFZ",1013,"Gastgewerbe und Catering"
79023,"Restaurationsangestellte/r EBA",1013,"Gastgewerbe und Catering"
78704,"Restaurationsfachmann/-frau EFZ",1013,"Gastgewerbe und Catering"
30003,"Säger/in Holzindustrie EFZ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
47704,"Sanitärinstallateur/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
47706,"Sanitärinstallateur/in EFZ",713,"Elektrizität und Energie"
,"Schauspieler/in",215,"Musik und darstellende Kunst"
30504,"Schreiner/in (Bau/Fenster) ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
30503,"Schreiner/in (Möbel/Innenausbau) ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
30513,"Schreiner/in EFZ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
30515,"Schreiner/in EFZ (Bau/Fenster) ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
30514,"Schreiner/in EFZ (Möbel/Innenausbau) ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
30517,"Schreiner/in EFZ (Skibau) ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
30516,"Schreiner/in EFZ (Wagner) ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
30506,"Schreinerpraktiker/in EBA",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
36104,"Schuhmacher/in EFZ",723,"Textilien ( Kleidung  Schuhwerk und Leder)"
36106,"Schuhreparateur/in EBA",723,"Textilien ( Kleidung  Schuhwerk und Leder)"
56503,"Seilbahner/in EBA",1041,"Verkehrsdienstleistungen"
56502,"Seilbahn-Mechatroniker/in EFZ",1041,"Verkehrsdienstleistungen"
31495,"Skibauer (LU)",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
45404,"Spengler/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
45405,"Spengler/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
39203,"Steinbildhauer/in EFZ",214,"Kunsthandwerk"
39204,"Steinmetz/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
51425,"Steinsetzer/in EBA",732,"Baugewerbe  Hoch- und Tiefbau"
39206,"Steinwerker/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
51923,"Storenmontagepraktiker/in EBA",732,"Baugewerbe  Hoch- und Tiefbau"
51918,"Storenmonteur/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
51420,"Strassenbauer/in EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
51426,"Strassenbaupraktiker/in EBA",732,"Baugewerbe  Hoch- und Tiefbau"
73304,"Strassentransportfachmann/-frau EFZ",1041,"Verkehrsdienstleistungen"
73305,"Strassentransportpraktiker/in EBA",1041,"Verkehrsdienstleistungen"
79008,"Systemgastronomiefachmann/-frau EFZ",1013,"Gastgewerbe und Catering"
,"Tänzer/in",215,"Musik und darstellende Kunst"
,"Technik  Architektur  Life Sciences - ohne Variante (BM2)",711,"Chemie und Verfahrenstechnik"
,"Technik  Architektur  Life Sciences - Variante Chemie oder Biologie (BM2)",711,"Chemie und Verfahrenstechnik"
47420,"Telematiker/in EFZ",714,"Elektronik und Automation"
47415,"Telematiker/in EFZ",714,"Elektronik und Automation"
80606,"Textilpfleger/in EFZ",1011,"Hauswirtschaftliche Dienste"
26309,"Textilpraktiker/in EBA",723,"Textilien ( Kleidung  Schuhwerk und Leder)"
26310,"Textiltechnologe/-gin EFZ",723,"Textilien ( Kleidung  Schuhwerk und Leder)"
26311,"Textiltechnologe/-login EFZ",723,"Textilien ( Kleidung  Schuhwerk und Leder)"
26312,"Textiltechnologe/-login EFZ (Design) ",723,"Textilien ( Kleidung  Schuhwerk und Leder)"
26308,"Textiltechnologe/-login EFZ (Design) ",723,"Textilien ( Kleidung  Schuhwerk und Leder)"
26313,"Textiltechnologe/-login EFZ (Herstellung) ",723,"Textilien ( Kleidung  Schuhwerk und Leder)"
26307,"Textiltechnologe/-login EFZ (Mechatronik) ",723,"Textilien ( Kleidung  Schuhwerk und Leder)"
26316,"Textiltechnologe/-login EFZ (Mechatronik) ",723,"Textilien ( Kleidung  Schuhwerk und Leder)"
26315,"Textiltechnologe/-login EFZ (Seil- und Hebetechnik) ",723,"Textilien ( Kleidung  Schuhwerk und Leder)"
26306,"Textiltechnologe/-login EFZ (Seil- und Hebetechnik) ",723,"Textilien ( Kleidung  Schuhwerk und Leder)"
26304,"Textiltechnologe/-login EFZ (Verarbeitung) ",723,"Textilien ( Kleidung  Schuhwerk und Leder)"
26305,"Textiltechnologe/-login EFZ (Veredlung) ",723,"Textilien ( Kleidung  Schuhwerk und Leder)"
26314,"Textiltechnologe/-login EFZ (Veredlung) ",723,"Textilien ( Kleidung  Schuhwerk und Leder)"
53107,"Theatermaler/in EFZ",212,"Mode  Innenarchitektur und industrielles Design"
86908,"Tiermed. Praxisassistent/in EFZ",841,"Tiermedizin"
18110,"Tierpfleger/in EFZ",811,"Pflanzenbau und Tierzucht"
18111,"Tierpfleger/in EFZ (Heimtiere) ",811,"Pflanzenbau und Tierzucht"
18112,"Tierpfleger/in EFZ (Versuchstiere) ",811,"Pflanzenbau und Tierzucht"
18113,"Tierpfleger/in EFZ (Wildtiere) ",811,"Pflanzenbau und Tierzucht"
49206,"Uhrenarbeiter/in EBA",715,"Maschinenbau und Metallverarbeitung"
49208,"Uhrenarbeiter/in EBA",715,"Maschinenbau und Metallverarbeitung"
49004,"Uhrmacher/in (Industrie)",715,"Maschinenbau und Metallverarbeitung"
49003,"Uhrmacher/in (Rhabillage)",715,"Maschinenbau und Metallverarbeitung"
49005,"Uhrmacher/in EFZ",715,"Maschinenbau und Metallverarbeitung"
49203,"Uhrmacher/in Produktion",715,"Maschinenbau und Metallverarbeitung"
49207,"Uhrmacher/in Produktion EFZ",715,"Maschinenbau und Metallverarbeitung"
80201,"Unterhaltspraktiker/in EBA",1011,"Hauswirtschaftliche Dienste"
66500,"Veranstaltungsfachmann/-frau EFZ",211,"Audiovisuelle Techniken und Medienproduktion"
31604,"Vergolder/in-Einrahmer/in EFZ",214,"Kunsthandwerk"
33313,"Verpackungstechnologe/-login EFZ",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
,"Vorkurs für Gestaltung",211,"Audiovisuelle Techniken und Medienproduktion"
,"Vorkurs für Pädagogik",9999,"Feld unbekannt"
,"Vorkurs für pädagogische Fachhochschule",9999,"Feld unbekannt"
,"Vorlehre",9999,"Feld unbekannt"
31401,"Wagner/in",722,"Werkstoffe (Glas  Papier  Kunststoff und Holz)"
22603,"Weintechnologe/-login EFZ",721,"Nahrungsmittel"
16103,"Winzer/in EFZ",811,"Pflanzenbau und Tierzucht"
,"Wirtschaft und Dienstleistungen - Typ Dienstleistungen (BM2)",410,"Wirtschaft und Verwaltung nicht näher definiert"
,"Wirtschaft und Dienstleistungen - Typ Wirtschaft (BM2)",410,"Wirtschaft und Verwaltung nicht näher definiert"
28502,"Wohntextilgestalter/in EFZ",212,"Mode  Innenarchitektur und industrielles Design"
54103,"Zahntechniker/in EFZ",911,"Zahnmedizin"
54104,"Zahntechniker/in EFZ",911,"Zahnmedizin"
64000,"Zeichner/in (Berufsfeld Raum- und Bauplanung) EFZ",731,"Architektur und Städteplanung"
64008,"Zeichner/in EFZ (Fachrichtung Architektur) ",731,"Architektur und Städteplanung"
64009,"Zeichner/in EFZ (Fachrichtung Ingenieurbau) ",731,"Architektur und Städteplanung"
64010,"Zeichner/in EFZ (Fachrichtung Innenarchitektur) ",731,"Architektur und Städteplanung"
64011,"Zeichner/in EFZ (Fachrichtung Landschaftsarchitektur) ",731,"Architektur und Städteplanung"
64012,"Zeichner/in EFZ (Fachrichtung Raumplanung) ",731,"Architektur und Städteplanung"
30303,"Zimmermann/Zimmerin EFZ",732,"Baugewerbe  Hoch- und Tiefbau"
41300,"Zinngiesser/in",715,"Maschinenbau und Metallverarbeitung"
